\\Hourly Zonal Demand Report,,,,,,,,,,,,,,
\\Created at 2018-05-22 08:00:00,,,,,,,,,,,,,,
\\For 2009,,,,,,,,,,,,,,
Date,Hour,Ontario Demand,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West,Zone Total,Diff
2009-01-01,1,16011,562,1529,1431,1080,5218,1097,76,2851,566,1551,15961,-50
2009-01-01,2,15503,545,1520,1360,1080,5029,1062,77,2752,541,1503,15469,-34
2009-01-01,3,15095,536,1491,1298,1080,4861,1032,76,2651,544,1465,15034,-61
2009-01-01,4,14880,525,1501,1279,1068,4754,1008,76,2612,566,1449,14838,-42
2009-01-01,5,14883,530,1514,1322,1038,4679,1012,76,2619,578,1443,14811,-72
2009-01-01,6,15023,528,1501,1387,1017,4684,1029,75,2633,599,1454,14907,-116
2009-01-01,7,15215,531,1507,1420,1050,4774,1053,77,2688,572,1490,15162,-53
2009-01-01,8,15488,543,1534,1480,1057,4819,1099,77,2744,570,1520,15443,-45
2009-01-01,9,15538,550,1545,1537,1037,4847,1107,78,2740,551,1520,15512,-26
2009-01-01,10,15901,553,1581,1562,1059,4977,1157,80,2801,500,1569,15839,-62
2009-01-01,11,16155,539,1574,1572,1085,5110,1183,80,2850,534,1603,16130,-25
2009-01-01,12,16435,543,1589,1574,1106,5237,1192,77,2859,534,1642,16353,-82
2009-01-01,13,16519,541,1573,1551,1106,5318,1185,71,2864,520,1654,16383,-136
2009-01-01,14,16355,539,1526,1492,1126,5333,1164,71,2859,514,1646,16270,-85
2009-01-01,15,16398,541,1535,1483,1120,5369,1160,72,2833,516,1640,16269,-129
2009-01-01,16,16703,552,1537,1519,1122,5445,1185,72,2843,527,1669,16471,-232
2009-01-01,17,17477,562,1569,1631,1213,5661,1251,72,2942,552,1704,17157,-320
2009-01-01,18,18635,576,1551,1745,1316,6103,1373,76,3150,598,1825,18313,-322
2009-01-01,19,18497,587,1533,1722,1264,6107,1351,74,3116,592,1831,18177,-320
2009-01-01,20,18157,576,1512,1698,1227,5986,1303,71,3048,578,1802,17801,-356
2009-01-01,21,17774,569,1499,1660,1200,5873,1261,71,2974,570,1773,17450,-324
2009-01-01,22,17243,563,1515,1575,1178,5685,1201,68,2880,549,1722,16936,-307
2009-01-01,23,16451,548,1495,1487,1108,5445,1114,66,2785,524,1640,16212,-239
2009-01-01,24,15370,526,1453,1400,1027,5108,1014,66,2621,510,1547,15272,-98
2009-01-02,1,14647,503,1455,1306,998,4813,947,64,2475,521,1475,14557,-90
2009-01-02,2,14219,489,1432,1271,967,4604,902,64,2419,550,1433,14131,-88
2009-01-02,3,13990,483,1438,1249,961,4459,879,67,2362,538,1408,13844,-146
2009-01-02,4,13872,482,1406,1238,965,4399,872,64,2340,542,1408,13716,-156
2009-01-02,5,13907,480,1425,1242,974,4405,873,65,2349,499,1411,13723,-184
2009-01-02,6,14260,482,1439,1285,1011,4507,903,63,2398,525,1436,14049,-211
2009-01-02,7,15135,500,1436,1381,1072,4822,963,66,2593,511,1510,14854,-281
2009-01-02,8,16004,523,1429,1473,1136,5203,1039,68,2813,483,1606,15773,-231
2009-01-02,9,16613,561,1452,1555,1177,5435,1099,69,2936,506,1653,16443,-170
2009-01-02,10,17164,579,1504,1654,1183,5684,1161,69,3018,525,1700,17077,-87
2009-01-02,11,17523,573,1547,1650,1236,5827,1172,68,3008,531,1722,17334,-189
2009-01-02,12,17551,574,1550,1572,1278,5891,1143,68,3014,527,1728,17345,-206
2009-01-02,13,17509,569,1513,1551,1278,5901,1118,69,2991,526,1744,17260,-249
2009-01-02,14,17303,556,1481,1561,1218,5862,1104,67,2955,529,1739,17072,-231
2009-01-02,15,17237,552,1451,1552,1197,5858,1087,66,2985,532,1725,17005,-232
2009-01-02,16,17412,552,1444,1580,1188,5899,1109,67,2970,547,1735,17091,-321
2009-01-02,17,18164,563,1501,1652,1251,6122,1176,69,3093,569,1768,17764,-400
2009-01-02,18,19337,604,1567,1759,1339,6562,1297,70,3316,609,1908,19031,-306
2009-01-02,19,19417,628,1564,1737,1307,6550,1287,70,3309,602,1932,18986,-431
2009-01-02,20,18840,627,1540,1678,1257,6379,1245,70,3306,586,1893,18581,-259
2009-01-02,21,18286,618,1519,1631,1218,6204,1212,65,3211,573,1850,18101,-185
2009-01-02,22,17621,605,1510,1577,1152,5963,1136,64,3036,555,1795,17393,-228
2009-01-02,23,16694,570,1478,1497,1071,5641,1062,63,2888,534,1713,16517,-177
2009-01-02,24,15736,548,1458,1368,1026,5291,973,60,2747,504,1619,15594,-142
2009-01-03,1,14849,533,1433,1290,960,4943,917,59,2529,498,1539,14701,-148
2009-01-03,2,14315,522,1438,1223,941,4705,853,60,2440,495,1504,14181,-134
2009-01-03,3,14092,512,1437,1214,921,4532,830,59,2391,529,1467,13892,-200
2009-01-03,4,14019,506,1449,1217,919,4437,834,65,2424,539,1452,13842,-177
2009-01-03,5,14118,505,1453,1222,934,4423,836,67,2463,549,1453,13905,-213
2009-01-03,6,14310,503,1461,1252,956,4473,863,66,2512,559,1470,14115,-195
2009-01-03,7,14796,513,1488,1350,960,4619,917,67,2646,534,1521,14615,-181
2009-01-03,8,15467,529,1499,1441,1015,4814,1002,73,2814,496,1589,15272,-195
2009-01-03,9,16050,554,1526,1506,1060,5004,1074,76,2971,494,1637,15902,-148
2009-01-03,10,16592,568,1528,1555,1068,5260,1120,75,3066,512,1691,16443,-149
2009-01-03,11,16937,575,1521,1565,1080,5449,1129,76,3165,509,1717,16786,-151
2009-01-03,12,17007,580,1512,1547,1094,5554,1124,76,3173,516,1711,16887,-120
2009-01-03,13,16975,583,1504,1464,1150,5590,1101,74,3161,514,1702,16843,-132
2009-01-03,14,16822,577,1489,1438,1137,5552,1073,73,3137,509,1697,16682,-140
2009-01-03,15,16609,573,1476,1420,1128,5500,1059,73,3118,508,1677,16532,-77
2009-01-03,16,16642,572,1521,1458,1129,5515,1067,74,3092,512,1668,16608,-34
2009-01-03,17,17403,579,1556,1629,1168,5669,1159,73,3217,537,1710,17297,-106
2009-01-03,18,19004,600,1598,1780,1291,6210,1327,78,3549,593,1859,18885,-119
2009-01-03,19,19095,604,1589,1767,1275,6295,1324,79,3562,594,1891,18980,-115
2009-01-03,20,18638,594,1563,1731,1232,6167,1284,87,3476,576,1856,18566,-72
2009-01-03,21,18179,582,1543,1688,1183,6015,1240,85,3414,568,1813,18131,-48
2009-01-03,22,17645,570,1560,1620,1137,5850,1204,84,3262,555,1767,17609,-36
2009-01-03,23,16884,557,1513,1542,1080,5635,1132,79,3127,529,1692,16886,2
2009-01-03,24,16036,531,1492,1422,1042,5329,1071,79,2976,497,1604,16043,7
2009-01-04,1,15271,510,1451,1323,1008,5037,1011,75,2844,568,1524,15351,80
2009-01-04,2,14818,500,1425,1275,976,4835,968,77,2796,576,1478,14906,88
2009-01-04,3,14590,490,1416,1266,964,4698,947,76,2734,566,1446,14603,13
2009-01-04,4,14511,485,1431,1266,960,4610,957,72,2684,561,1433,14459,-52
2009-01-04,5,14494,483,1439,1278,964,4579,966,72,2650,562,1426,14419,-75
2009-01-04,6,14682,486,1442,1310,981,4609,975,72,2643,560,1438,14516,-166
2009-01-04,7,15006,489,1431,1374,1007,4694,1022,73,2677,569,1475,14811,-195
2009-01-04,8,15381,507,1460,1481,1021,4839,1079,71,2779,462,1528,15227,-154
2009-01-04,9,15869,532,1492,1552,1053,4966,1137,73,2869,477,1580,15731,-138
2009-01-04,10,16475,542,1523,1613,1050,5203,1199,79,2991,497,1637,16334,-141
2009-01-04,11,16952,550,1529,1615,1068,5422,1215,75,3013,506,1690,16683,-269
2009-01-04,12,17174,556,1512,1611,1080,5614,1212,76,3097,516,1730,17004,-170
2009-01-04,13,17382,556,1518,1571,1121,5717,1193,86,3197,523,1761,17243,-139
2009-01-04,14,17409,554,1542,1528,1147,5727,1174,88,3263,520,1769,17312,-97
2009-01-04,15,17430,562,1575,1520,1153,5737,1171,86,3298,528,1773,17403,-27
2009-01-04,16,17773,570,1578,1586,1156,5865,1207,84,3377,539,1780,17742,-31
