\\Hourly Zonal Demand Report,,,,,,,,,,,,,,
\\Created at 2018-05-22 08:00:00,,,,,,,,,,,,,,
\\For 2015,,,,,,,,,,,,,,
Date,Hour,Ontario Demand,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West,Zone Total,Diff
2015-01-01,1,14960,604,1314,1026,935,5317,1040,57,2881,411,1346,14932,-28
2015-01-01,2,14476,597,1282,988,911,5135,995,56,2784,388,1289,14425,-51
2015-01-01,3,13979,592,1280,966,900,4976,957,56,2679,372,1249,14026,47
2015-01-01,4,13670,590,1301,954,903,4851,933,55,2576,358,1221,13741,71
2015-01-01,5,13567,585,1313,954,904,4789,929,57,2543,353,1217,13644,77
2015-01-01,6,13787,582,1309,973,928,4807,939,59,2569,364,1231,13762,-25
2015-01-01,7,13944,589,1321,1005,964,4890,961,61,2608,370,1257,14026,82
2015-01-01,8,14244,599,1318,1029,1006,4973,981,59,2672,379,1287,14303,59
2015-01-01,9,14363,598,1350,1041,1023,4992,1010,60,2695,397,1292,14457,95
2015-01-01,10,14846,595,1353,919,1221,5195,1064,61,2821,423,1306,14957,111
2015-01-01,11,15331,591,1362,918,1250,5418,1109,53,2883,439,1277,15299,-32
2015-01-01,12,15637,585,1342,948,1272,5593,1138,63,2947,465,1252,15606,-31
2015-01-01,13,15840,580,1385,974,1260,5706,1146,63,2990,481,1296,15880,39
2015-01-01,14,15977,577,1390,981,1262,5756,1137,61,3033,477,1323,15996,19
2015-01-01,15,16030,573,1390,983,1254,5751,1125,63,3070,479,1352,16039,9
2015-01-01,16,16139,565,1395,1001,1266,5789,1147,60,3020,472,1386,16100,-39
2015-01-01,17,16682,559,1424,1063,1340,5942,1217,62,3127,482,1471,16688,5
2015-01-01,18,18002,584,1513,1108,1411,6351,1325,63,3415,511,1588,17870,-132
2015-01-01,19,17664,600,1497,1073,1379,6333,1299,62,3416,494,1575,17728,64
2015-01-01,20,17337,600,1485,1037,1361,6217,1257,61,3369,491,1547,17427,90
2015-01-01,21,16961,600,1440,1005,1320,6098,1214,61,3236,468,1516,16958,-3
2015-01-01,22,16317,596,1426,956,1250,5894,1148,59,3141,452,1471,16392,75
2015-01-01,23,15504,588,1386,891,1182,5634,1058,57,2993,418,1417,15624,120
2015-01-01,24,14682,573,1353,901,1034,5315,967,53,2859,385,1348,14788,106
2015-01-02,1,14037,564,1329,956,884,5030,901,52,2724,357,1299,14096,59
2015-01-02,2,13548,560,1308,931,869,4836,866,52,2638,345,1277,13682,134
2015-01-02,3,13410,588,1307,916,864,4705,848,52,2573,334,1262,13451,41
2015-01-02,4,13344,593,1297,917,875,4654,849,52,2550,332,1255,13374,30
2015-01-02,5,13420,592,1305,924,880,4675,864,52,2576,333,1256,13458,38
2015-01-02,6,13825,595,1325,969,917,4818,903,55,2667,350,1298,13897,72
2015-01-02,7,14718,595,1338,1053,980,5137,974,60,2841,391,1394,14761,43
2015-01-02,8,15747,514,1384,1113,1016,5500,1043,60,3055,409,1513,15607,-140
2015-01-02,9,16090,522,1413,1118,1019,5684,1094,63,3169,426,1553,16059,-31
2015-01-02,10,16321,539,1426,1001,1024,5839,1124,66,3209,429,1552,16208,-113
