"Station Name","ST. CATHARINES / NIAGARA DISTRICT A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","43.19"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137286"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-12-01 00:00","2018","12","01","00:00"
"2018-12-01 01:00","2018","12","01","01:00"
"2018-12-01 02:00","2018","12","01","02:00"
"2018-12-01 03:00","2018","12","01","03:00"
"2018-12-01 04:00","2018","12","01","04:00"
"2018-12-01 05:00","2018","12","01","05:00"
"2018-12-01 06:00","2018","12","01","06:00"
"2018-12-01 07:00","2018","12","01","07:00","2.2","","-0.4","","83","","11","","11","","24.1","","100.98","","","","","","Cloudy"
"2018-12-01 08:00","2018","12","01","08:00","1.8","","0.4","","90","","9","","8","","24.1","","100.94","","","","","","NA"
"2018-12-01 09:00","2018","12","01","09:00","2.0","","0.4","","89","","9","","9","","24.1","","100.88","","","","","","NA"
"2018-12-01 10:00","2018","12","01","10:00","2.1","","-0.2","","85","","12","","18","","24.1","","100.84","","","","","","Cloudy"
"2018-12-01 11:00","2018","12","01","11:00","2.5","","-0.4","","81","","10","","27","","24.1","","100.83","","","","","","NA"
"2018-12-01 12:00","2018","12","01","12:00","2.9","","-0.2","","80","","10","","19","","19.3","","100.70","","","","","","NA"
"2018-12-01 13:00","2018","12","01","13:00","3.3","","0.2","","80","","11","","18","","24.1","","100.59","","","","","","Cloudy"
"2018-12-01 14:00","2018","12","01","14:00","2.6","","0.3","","85","","9","","21","","24.1","","100.46","","","","","","NA"
"2018-12-01 15:00","2018","12","01","15:00","2.3","","0.1","","85","","9","","20","","24.1","","100.35","","","","","","NA"
"2018-12-01 16:00","2018","12","01","16:00","2.4","","0.0","","84","","9","","19","","24.1","","100.26","","","","","","Cloudy"
"2018-12-01 17:00","2018","12","01","17:00","2.2","","0.7","","90","","7","","17","","12.9","","100.21","","","","","","Rain"
"2018-12-01 18:00","2018","12","01","18:00","1.8","","1.2","","96","","8","","20","","19.3","","100.17","","","","","","Rain"
"2018-12-01 19:00","2018","12","01","19:00","1.7","","1.1","","96","","7","","21","","12.9","","100.10","","","","","","Rain"
"2018-12-01 20:00","2018","12","01","20:00","1.6","","1.5","","100","","9","","22","","9.7","","100.02","","","","","","Rain,Fog"
"2018-12-01 21:00","2018","12","01","21:00","1.5","","1.5","","100","","10","","20","","8.1","","99.86","","","","","","Rain,Fog"
"2018-12-01 22:00","2018","12","01","22:00"
"2018-12-01 23:00","2018","12","01","23:00"
"2018-12-02 00:00","2018","12","02","00:00"
"2018-12-02 01:00","2018","12","02","01:00"
"2018-12-02 02:00","2018","12","02","02:00"
"2018-12-02 03:00","2018","12","02","03:00"
"2018-12-02 04:00","2018","12","02","04:00"
"2018-12-02 05:00","2018","12","02","05:00"
"2018-12-02 06:00","2018","12","02","06:00"
"2018-12-02 07:00","2018","12","02","07:00","3.7","","3.7","","100","","7","","7","","6.4","","98.84","","","","","","Fog"
"2018-12-02 08:00","2018","12","02","08:00","4.1","","4.1","","100","","12","","3","","16.1","","98.78","","","","","","NA"
"2018-12-02 09:00","2018","12","02","09:00","4.9","","4.9","","100","","36","","3","","16.1","","98.77","","","","","","NA"
"2018-12-02 10:00","2018","12","02","10:00","6.6","","6.6","","100","","36","","3","","16.1","","98.76","","","","","","Mostly Cloudy"
"2018-12-02 11:00","2018","12","02","11:00","11.3","","8.9","","85","","20","","25","","24.1","","98.72","","","","","","NA"
"2018-12-02 12:00","2018","12","02","12:00","12.4","","9.4","","82","","20","","26","","24.1","","98.64","","","","","","NA"
"2018-12-02 13:00","2018","12","02","13:00","13.0","","9.7","","80","","20","","29","","24.1","","98.59","","","","","","Mostly Cloudy"
"2018-12-02 14:00","2018","12","02","14:00","13.3","","9.7","","79","","20","","27","","24.1","","98.56","","","","","","NA"
"2018-12-02 15:00","2018","12","02","15:00","13.8","","9.7","","76","","20","","19","","24.1","","98.54","","","","","","NA"
