"Station Name","ST. CATHARINES / NIAGARA DISTRICT A"
"Province","ONTARIO"
"Latitude","43.19"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137286"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2015-01-01 00:00","2015","01","01","00:00"
"2015-01-01 01:00","2015","01","01","01:00"
"2015-01-01 02:00","2015","01","01","02:00"
"2015-01-01 03:00","2015","01","01","03:00"
"2015-01-01 04:00","2015","01","01","04:00"
"2015-01-01 05:00","2015","01","01","05:00"
"2015-01-01 06:00","2015","01","01","06:00"
"2015-01-01 07:00","2015","01","01","07:00","-4.5","","-10.7","","62","","24","","34","","24.1","","100.25","","","","-13","","Cloudy"
"2015-01-01 08:00","2015","01","01","08:00","-4.3","","-9.7","","66","","25","","26","","16.1","","100.25","","","","-12","","NA"
"2015-01-01 09:00","2015","01","01","09:00","-2.8","","-8.1","","67","","23","","36","","12.9","","100.17","","","","-11","","Snow"
"2015-01-01 10:00","2015","01","01","10:00","-2.5","","-8.0","","66","","23","","29","","12.9","","100.14","","","","-10","","Snow"
"2015-01-01 11:00","2015","01","01","11:00","-2.3","","-8.4","","63","","23","","47","","12.9","","100.00","","","","-11","","Snow"
"2015-01-01 12:00","2015","01","01","12:00","-2.1","","-8.0","","64","","24","","46","","19.3","","99.87","","","","-11","","Snow"
"2015-01-01 13:00","2015","01","01","13:00","-2.2","","-8.3","","63","","24","","43","","24.1","","99.86","","","","-11","","Snow"
"2015-01-01 14:00","2015","01","01","14:00","-2.0","","-7.9","","64","","23","","43","","24.1","","99.85","","","","-10","","NA"
"2015-01-01 15:00","2015","01","01","15:00","-1.7","","-7.9","","63","","25","","43","","24.1","","99.85","","","","-10","","NA"
"2015-01-01 16:00","2015","01","01","16:00","-1.5","","-7.9","","62","","25","","35","","24.1","","99.91","","","","-9","","Cloudy"
"2015-01-01 17:00","2015","01","01","17:00","-1.3","","-8.1","","60","","25","","29","","24.1","","99.98","","","","-8","","NA"
"2015-01-01 18:00","2015","01","01","18:00","-1.1","","-7.7","","61","","24","","32","","24.1","","100.01","","","","-8","","NA"
"2015-01-01 19:00","2015","01","01","19:00","-0.8","","-7.8","","59","","25","","24","","24.1","","100.05","","","","-7","","Cloudy"
"2015-01-01 20:00","2015","01","01","20:00","-0.6","","-8.1","","57","","25","","30","","24.1","","100.10","","","","-7","","NA"
"2015-01-01 21:00","2015","01","01","21:00","-0.6","","-9.8","","50","","26","","34","","24.1","","100.21","","","","-8","","NA"
"2015-01-01 22:00","2015","01","01","22:00"
"2015-01-01 23:00","2015","01","01","23:00"
"2015-01-02 00:00","2015","01","02","00:00"
"2015-01-02 01:00","2015","01","02","01:00"
"2015-01-02 02:00","2015","01","02","02:00"
"2015-01-02 03:00","2015","01","02","03:00"
"2015-01-02 04:00","2015","01","02","04:00"
"2015-01-02 05:00","2015","01","02","05:00"
"2015-01-02 06:00","2015","01","02","06:00"
"2015-01-02 07:00","2015","01","02","07:00","-1.3","","-6.9","","66","","25","","27","","24.1","","100.84","","","","-8","","Cloudy"
"2015-01-02 08:00","2015","01","02","08:00","-1.6","","-6.8","","68","","25","","19","","24.1","","100.96","","","","-7","","NA"
"2015-01-02 09:00","2015","01","02","09:00","-1.3","","-6.7","","67","","25","","21","","24.1","","101.07","","","","-7","","NA"
"2015-01-02 10:00","2015","01","02","10:00","-1.6","","-4.6","","80","","30","","16","","16.1","","101.15","","","","-7","","Snow"
"2015-01-02 11:00","2015","01","02","11:00","-1.5","","-3.9","","84","","29","","21","","12.9","","101.21","","","","-7","","Snow"
"2015-01-02 12:00","2015","01","02","12:00","-0.5","","-5.9","","67","","27","","21","","24.1","","101.21","","","","-6","","NA"
"2015-01-02 13:00","2015","01","02","13:00","0.0","","-9.0","","51","","29","","20","","24.1","","101.22","","","","-5","","Mostly Cloudy"
"2015-01-02 14:00","2015","01","02","14:00","-0.2","","-8.7","","53","","27","","17","","24.1","","101.27","","","","-5","","NA"
