"Station Name","ST. CATHARINES / NIAGARA DISTRICT A"
"Province","ONTARIO"
"Latitude","43.19"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137286"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2015-06-01 00:00","2015","06","01","00:00"
"2015-06-01 01:00","2015","06","01","01:00"
"2015-06-01 02:00","2015","06","01","02:00"
"2015-06-01 03:00","2015","06","01","03:00"
"2015-06-01 04:00","2015","06","01","04:00"
"2015-06-01 05:00","2015","06","01","05:00"
"2015-06-01 06:00","2015","06","01","06:00","8.5","","6.5","","87","","4","","11","","24.1","","101.00","","","","","","NA"
"2015-06-01 07:00","2015","06","01","07:00","9.3","","7.3","","87","","4","","13","","24.1","","101.01","","","","","","Cloudy"
"2015-06-01 08:00","2015","06","01","08:00","8.6","","8.2","","97","","4","","18","","2.4","","101.05","","","","","","Drizzle,Fog"
"2015-06-01 09:00","2015","06","01","09:00","9.1","","8.7","","97","","3","","20","","2.4","","101.06","","","","","","Drizzle,Fog"
"2015-06-01 10:00","2015","06","01","10:00","9.9","","9.5","","97","","4","","17","","2.4","","101.09","","","","","","Drizzle,Fog"
"2015-06-01 11:00","2015","06","01","11:00","9.9","","9.1","","95","","4","","18","","4.8","","101.12","","","","","","Drizzle,Fog"
"2015-06-01 12:00","2015","06","01","12:00","11.7","","10.1","","90","","7","","14","","11.3","","101.13","","","","","","NA"
"2015-06-01 13:00","2015","06","01","13:00","13.6","","9.9","","78","","6","","20","","24.1","","101.07","","","","","","Cloudy"
"2015-06-01 14:00","2015","06","01","14:00","13.9","","10.2","","78","","6","","12","","24.1","","101.07","","","","","","NA"
"2015-06-01 15:00","2015","06","01","15:00","13.7","","9.8","","77","","6","","14","","24.1","","101.03","","","","","","NA"
"2015-06-01 16:00","2015","06","01","16:00","14.0","","9.5","","74","","3","","10","","24.1","","101.03","","","","","","Cloudy"
"2015-06-01 17:00","2015","06","01","17:00","13.7","","10.0","","78","","3","","11","","24.1","","101.01","","","","","","NA"
"2015-06-01 18:00","2015","06","01","18:00","13.2","","10.0","","81","","8","","8","","24.1","","101.05","","","","","","NA"
"2015-06-01 19:00","2015","06","01","19:00","12.9","","10.5","","85","","1","","4","","24.1","","101.06","","","","","","Cloudy"
"2015-06-01 20:00","2015","06","01","20:00","11.8","","10.4","","91","","1","","6","","24.1","","101.04","","","","","","NA"
"2015-06-01 21:00","2015","06","01","21:00"
"2015-06-01 22:00","2015","06","01","22:00"
"2015-06-01 23:00","2015","06","01","23:00"
"2015-06-02 00:00","2015","06","02","00:00"
"2015-06-02 01:00","2015","06","02","01:00"
"2015-06-02 02:00","2015","06","02","02:00"
"2015-06-02 03:00","2015","06","02","03:00"
"2015-06-02 04:00","2015","06","02","04:00"
"2015-06-02 05:00","2015","06","02","05:00"
"2015-06-02 06:00","2015","06","02","06:00","9.6","","9.5","","99","","3","","4","","6.4","","101.06","","","","","","Fog"
"2015-06-02 07:00","2015","06","02","07:00","11.5","","10.3","","92","","6","","9","","16.1","","101.10","","","","","","Mostly Cloudy"
"2015-06-02 08:00","2015","06","02","08:00","12.6","","9.1","","79","","3","","18","","24.1","","101.15","","","","","","NA"
"2015-06-02 09:00","2015","06","02","09:00","13.8","","9.5","","75","","2","","19","","24.1","","101.16","","","","","","NA"
"2015-06-02 10:00","2015","06","02","10:00","14.6","","9.7","","72","","2","","17","","24.1","","101.18","","","","","","Mainly Clear"
"2015-06-02 11:00","2015","06","02","11:00","15.4","","10.2","","71","","4","","14","","24.1","","101.15","","","","","","NA"
"2015-06-02 12:00","2015","06","02","12:00","16.2","","9.7","","65","","4","","13","","24.1","","101.14","","","","","","NA"
"2015-06-02 13:00","2015","06","02","13:00","17.3","","10.5","","64","","3","","20","","24.1","","101.08","","","","","","Mainly Clear"
"2015-06-02 14:00","2015","06","02","14:00","18.7","","9.3","","54","","4","","18","","24.1","","101.03","","","","","","NA"
