"Station Name","ST. CATHARINES / NIAGARA DISTRICT A"
"Province","ONTARIO"
"Latitude","43.19"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137286"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-04-01 00:00","2017","04","01","00:00"
"2017-04-01 01:00","2017","04","01","01:00"
"2017-04-01 02:00","2017","04","01","02:00"
"2017-04-01 03:00","2017","04","01","03:00"
"2017-04-01 04:00","2017","04","01","04:00"
"2017-04-01 05:00","2017","04","01","05:00"
"2017-04-01 06:00","2017","04","01","06:00","2.2","","1.0","","92","","36","","18","","9.7","","100.29","","","","","","Fog"
"2017-04-01 07:00","2017","04","01","07:00","2.2","","1.0","","92","","35","","13","","9.7","","100.36","","","","","","Drizzle,Fog"
"2017-04-01 08:00","2017","04","01","08:00","2.6","","1.3","","91","","34","","14","","12.9","","100.45","","","","","","Drizzle"
"2017-04-01 09:00","2017","04","01","09:00","3.0","","1.5","","90","","34","","14","","24.1","","100.54","","","","","","NA"
"2017-04-01 10:00","2017","04","01","10:00","3.6","","1.5","","86","","33","","18","","24.1","","100.59","","","","","","Cloudy"
"2017-04-01 11:00","2017","04","01","11:00","4.5","","1.9","","83","","32","","17","","24.1","","100.59","","","","","","NA"
"2017-04-01 12:00","2017","04","01","12:00","4.7","","1.2","","78","","30","","17","","24.1","","100.60","","","","","","NA"
"2017-04-01 13:00","2017","04","01","13:00","6.5","","2.0","","73","","31","","14","","24.1","","100.63","","","","","","Cloudy"
"2017-04-01 14:00","2017","04","01","14:00","6.6","","0.7","","66","","29","","13","","24.1","","100.62","","","","","","NA"
"2017-04-01 15:00","2017","04","01","15:00","7.1","","0.6","","63","","28","","14","","24.1","","100.63","","","","","","NA"
"2017-04-01 16:00","2017","04","01","16:00","8.7","","1.4","","60","","25","","14","","24.1","","100.69","","","","","","Mostly Cloudy"
"2017-04-01 17:00","2017","04","01","17:00","9.2","","1.6","","59","","25","","10","","24.1","","100.67","","","","","","NA"
"2017-04-01 18:00","2017","04","01","18:00","8.0","","2.9","","70","","21","","20","","24.1","","100.71","","","","","","NA"
"2017-04-01 19:00","2017","04","01","19:00","4.8","","1.1","","77","","22","","25","","24.1","","100.76","","","","","","Mainly Clear"
"2017-04-01 20:00","2017","04","01","20:00","3.8","","0.9","","81","","21","","22","","24.1","","100.82","","","","","","NA"
"2017-04-01 21:00","2017","04","01","21:00"
"2017-04-01 22:00","2017","04","01","22:00"
"2017-04-01 23:00","2017","04","01","23:00"
"2017-04-02 00:00","2017","04","02","00:00"
"2017-04-02 01:00","2017","04","02","01:00"
"2017-04-02 02:00","2017","04","02","02:00"
"2017-04-02 03:00","2017","04","02","03:00"
"2017-04-02 04:00","2017","04","02","04:00"
"2017-04-02 05:00","2017","04","02","05:00"
"2017-04-02 06:00","2017","04","02","06:00","2.4","","-1.4","","76","","20","","12","","24.1","","100.94","","","","","","NA"
"2017-04-02 07:00","2017","04","02","07:00","4.2","","0.2","","75","","21","","13","","24.1","","100.96","","","","","","Mostly Cloudy"
"2017-04-02 08:00","2017","04","02","08:00","6.4","","1.3","","70","","23","","17","","24.1","","101.01","","","","","","NA"
"2017-04-02 09:00","2017","04","02","09:00","8.7","","2.5","","65","","23","","13","","24.1","","101.01","","","","","","NA"
"2017-04-02 10:00","2017","04","02","10:00","11.6","","2.1","","52","","26","","16","","24.1","","101.02","","","","","","Mainly Clear"
"2017-04-02 11:00","2017","04","02","11:00","12.5","","2.1","","49","","26","","12","","24.1","","100.96","","","","","","NA"
"2017-04-02 12:00","2017","04","02","12:00","14.2","","3.7","","49","","29","","20","","24.1","","100.91","","","","","","NA"
"2017-04-02 13:00","2017","04","02","13:00","14.2","","4.8","","53","","25","","6","","24.1","","100.87","","","","","","Cloudy"
"2017-04-02 14:00","2017","04","02","14:00","14.7","","7.1","","60","","22","","13","","24.1","","100.82","","","","","","NA"
