"Station Name","ST. CATHARINES / NIAGARA DISTRICT A"
"Province","ONTARIO"
"Latitude","43.19"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137286"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-12-03 12:00","2013","12","03","12:00","3.0","","-3.8","","61","","12","","4","","24.1","","100.27","","","","","","NA"
"2013-12-03 13:00","2013","12","03","13:00","3.2","","-2.5","","66","","1","","10","","24.1","","100.27","","","","","","Mainly Clear"
"2013-12-03 14:00","2013","12","03","14:00","3.2","","-2.1","","68","","1","","12","","24.1","","100.25","","","","","","NA"
"2013-12-03 15:00","2013","12","03","15:00","2.9","","-1.5","","73","","35","","12","","24.1","","100.29","","","","","","NA"
"2013-12-03 16:00","2013","12","03","16:00","1.3","","-2.1","","78","","4","","8","","24.1","","100.31","","","","","","Mostly Cloudy"
"2013-12-03 17:00","2013","12","03","17:00","0.6","","-2.3","","81","","4","","5","","16.1","","100.32","","","","","","NA"
"2013-12-03 18:00","2013","12","03","18:00","-0.3","","-2.7","","84","","7","","5","","16.1","","100.35","","","","-2","","NA"
"2013-12-03 19:00","2013","12","03","19:00","-0.1","","-2.2","","86","","9","","11","","16.1","","100.36","","","","-4","","Cloudy"
"2013-12-03 20:00","2013","12","03","20:00","0.6","","-1.8","","84","","10","","13","","16.1","","100.37","","","","","","NA"
"2013-12-03 21:00","2013","12","03","21:00","0.9","","-1.8","","82","","9","","13","","16.1","","100.36","","","","","","NA"
"2013-12-03 22:00","2013","12","03","22:00"
"2013-12-03 23:00","2013","12","03","23:00"
"2013-12-04 00:00","2013","12","04","00:00"
"2013-12-04 01:00","2013","12","04","01:00"
"2013-12-04 02:00","2013","12","04","02:00"
"2013-12-04 03:00","2013","12","04","03:00"
"2013-12-04 04:00","2013","12","04","04:00"
"2013-12-04 05:00","2013","12","04","05:00"
"2013-12-04 06:00","2013","12","04","06:00"
"2013-12-04 07:00","2013","12","04","07:00","0.8","","0.2","","96","","8","","5","","8.1","","100.30","","","","","","Fog"
"2013-12-04 08:00","2013","12","04","08:00","0.9","","0.5","","97","","35","","3","","8.1","","100.36","","","","","","Fog"
"2013-12-04 09:00","2013","12","04","09:00","1.5","","0.8","","95","","6","","3","","8.1","","100.39","","","","","","Fog"
"2013-12-04 10:00","2013","12","04","10:00","3.1","","1.9","","92","","6","","5","","9.7","","100.37","","","","","","Fog"
"2013-12-04 11:00","2013","12","04","11:00","4.1","","2.3","","88","","34","","4","","9.7","","100.40","","","","","","Fog"
"2013-12-04 12:00","2013","12","04","12:00","4.7","","2.7","","87","","33","","7","","9.7","","100.30","","","","","","Fog"
"2013-12-04 13:00","2013","12","04","13:00","4.4","","2.4","","87","","36","","5","","9.7","","100.27","","","","","","Fog"
"2013-12-04 14:00","2013","12","04","14:00","6.0","","3.3","","83","","2","","8","","8.1","","100.23","","","","","","Haze"
"2013-12-04 15:00","2013","12","04","15:00","5.5","","3.5","","87","","7","","8","","8.1","","100.19","","","","","","Haze"
"2013-12-04 16:00","2013","12","04","16:00","5.1","","3.1","","87","","6","","6","","9.7","","100.20","","","","","","Haze"
"2013-12-04 17:00","2013","12","04","17:00","3.9","","2.7","","92","","7","","8","","6.4","","100.17","","","","","","Fog"
"2013-12-04 18:00","2013","12","04","18:00","2.8","","2.1","","95","","1","","5","","6.4","","100.20","","","","","","Fog"
"2013-12-04 19:00","2013","12","04","19:00","3.6","","2.7","","94","","7","","8","","8.1","","100.11","","","","","","Fog"
"2013-12-04 20:00","2013","12","04","20:00","4.0","","2.8","","92","","8","","8","","9.7","","100.04","","","","","","Fog"
"2013-12-04 21:00","2013","12","04","21:00","4.2","","3.0","","92","","7","","10","","9.7","","99.97","","","","","","Fog"
"2013-12-04 22:00","2013","12","04","22:00"
"2013-12-04 23:00","2013","12","04","23:00"
"2013-12-05 00:00","2013","12","05","00:00"
"2013-12-05 01:00","2013","12","05","01:00"
"2013-12-05 02:00","2013","12","05","02:00"
"2013-12-05 03:00","2013","12","05","03:00"
"2013-12-05 04:00","2013","12","05","04:00"
"2013-12-05 05:00","2013","12","05","05:00"
"2013-12-05 06:00","2013","12","05","06:00"
"2013-12-05 07:00","2013","12","05","07:00","13.4","","9.5","","77","","20","","28","","24.1","","99.42","","","","","","Cloudy"
"2013-12-05 08:00","2013","12","05","08:00","13.9","","10.2","","78","","20","","29","","24.1","","99.46","","","","","","NA"
"2013-12-05 09:00","2013","12","05","09:00","15.1","","11.1","","77","","21","","26","","19.3","","99.48","","","","","","NA"
"2013-12-05 10:00","2013","12","05","10:00","15.5","","11.3","","76","","23","","32","","19.3","","99.53","","","","","","Cloudy"
"2013-12-05 11:00","2013","12","05","11:00","15.6","","11.6","","77","","23","","30","","16.1","","99.51","","","","","","NA"
"2013-12-05 12:00","2013","12","05","12:00","15.8","","10.8","","72","","22","","38","","16.1","","99.50","","","","","","NA"
"2013-12-05 13:00","2013","12","05","13:00","15.4","","6.8","","56","","23","","35","","19.3","","99.44","","","","","","Cloudy"
"2013-12-05 14:00","2013","12","05","14:00","13.4","","5.4","","58","","24","","28","","19.3","","99.49","","","","","","NA"
"2013-12-05 15:00","2013","12","05","15:00","12.3","","4.8","","60","","23","","23","","19.3","","99.61","","","","","","NA"
"2013-12-05 16:00","2013","12","05","16:00","10.5","","4.9","","68","","23","","20","","19.3","","99.82","","","","","","Cloudy"
"2013-12-05 17:00","2013","12","05","17:00","9.0","","3.4","","68","","28","","22","","16.1","","99.96","","","","","","NA"
"2013-12-05 18:00","2013","12","05","18:00","6.4","","2.7","","77","","29","","27","","16.1","","100.08","","","","","","NA"
"2013-12-05 19:00","2013","12","05","19:00","6.0","","1.4","","72","","28","","21","","19.3","","100.23","","","","","","Cloudy"
"2013-12-05 20:00","2013","12","05","20:00","5.4","","0.0","","68","","28","","23","","24.1","","100.26","","","","","","NA"
"2013-12-05 21:00","2013","12","05","21:00","5.2","","-0.6","","66","","28","","27","","24.1","","100.35","","","","","","NA"
"2013-12-05 22:00","2013","12","05","22:00"
"2013-12-05 23:00","2013","12","05","23:00"
"2013-12-06 00:00","2013","12","06","00:00"
"2013-12-06 01:00","2013","12","06","01:00"
"2013-12-06 02:00","2013","12","06","02:00"
"2013-12-06 03:00","2013","12","06","03:00"
"2013-12-06 04:00","2013","12","06","04:00"
"2013-12-06 05:00","2013","12","06","05:00"
"2013-12-06 06:00","2013","12","06","06:00"
"2013-12-06 07:00","2013","12","06","07:00","1.2","","-4.3","","67","","28","","18","","24.1","","100.84","","","","","","Cloudy"
"2013-12-06 08:00","2013","12","06","08:00","0.9","","-3.8","","71","","25","","14","","24.1","","100.90","","","","","","NA"
