"Station Name","ST CATHARINES A"
"Province","ONTARIO"
"Latitude","43.20"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137287"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2010-01-03 10:00","2010","01","03","10:00","-8.4","","-11.0","","81","","30","","22","","1.6","","100.06","","","","-16","","Snow"
"2010-01-03 11:00","2010","01","03","11:00","-8.1","","-10.4","","83","","31","","19","","1.6","","100.05","","","","-15","","Snow"
"2010-01-03 12:00","2010","01","03","12:00","-7.8","","-10.3","","82","","33","","19","","1.2","","99.97","","","","-15","","Snow"
"2010-01-03 13:00","2010","01","03","13:00","-8.2","","-10.7","","82","","33","","19","","1.6","","99.96","","","","-15","","Snow"
"2010-01-03 14:00","2010","01","03","14:00","-8.7","","-11.3","","81","","33","","19","","1.6","","99.96","","","","-16","","Snow"
"2010-01-03 15:00","2010","01","03","15:00","-8.9","","-11.9","","79","","33","","22","","3.2","","100.05","","","","-17","","Snow"
"2010-01-03 16:00","2010","01","03","16:00","-8.5","","-11.2","","81","","33","","19","","4.8","","100.07","","","","-16","","Snow"
"2010-01-03 17:00","2010","01","03","17:00","-8.4","","-11.5","","78","","33","","19","","4.0","","100.11","","","","-16","","Snow"
"2010-01-03 18:00","2010","01","03","18:00","-8.5","","-11.0","","82","","33","","22","","2.8","","100.14","","","","-16","","Snow"
"2010-01-03 19:00","2010","01","03","19:00","-8.5","","-11.0","","82","","33","","19","","2.4","","100.18","","","","-16","","Snow"
"2010-01-03 20:00","2010","01","03","20:00","-8.6","","-11.2","","81","","33","","19","","2.8","","100.18","","","","-16","","Snow"
"2010-01-03 21:00","2010","01","03","21:00","-8.5","","-10.9","","83","","33","","19","","2.8","","100.18","","","","-16","","Snow"
"2010-01-03 22:00","2010","01","03","22:00"
"2010-01-03 23:00","2010","01","03","23:00"
"2010-01-04 00:00","2010","01","04","00:00"
"2010-01-04 01:00","2010","01","04","01:00"
"2010-01-04 02:00","2010","01","04","02:00"
"2010-01-04 03:00","2010","01","04","03:00"
"2010-01-04 04:00","2010","01","04","04:00"
"2010-01-04 05:00","2010","01","04","05:00"
"2010-01-04 06:00","2010","01","04","06:00"
"2010-01-04 07:00","2010","01","04","07:00","-9.5","","-11.6","","85","","33","","19","","2.8","","100.15","","","","-17","","Snow"
"2010-01-04 08:00","2010","01","04","08:00","-9.1","","-11.3","","84","","33","","19","","2.0","","100.14","","","","-17","","Snow"
"2010-01-04 09:00","2010","01","04","09:00","-9.1","","-11.0","","86","","33","","19","","2.0","","100.17","","","","-17","","Snow"
"2010-01-04 10:00","2010","01","04","10:00","-8.8","","-10.6","","87","","32","","19","","2.4","","100.19","","","","-16","","Snow"
"2010-01-04 11:00","2010","01","04","11:00","-8.8","","-11.0","","84","","33","","15","","3.2","","100.20","","","","-15","","Snow"
"2010-01-04 12:00","2010","01","04","12:00","-9.2","","-11.4","","84","","33","","15","","2.0","","100.15","","","","-16","","Snow"
"2010-01-04 13:00","2010","01","04","13:00","-8.9","","-11.3","","83","","32","","19","","4.8","","100.09","","","","-16","","Snow"
"2010-01-04 14:00","2010","01","04","14:00","-8.3","","-10.7","","83","","33","","17","","9.7","","100.06","","","","-15","","Snow"
"2010-01-04 15:00","2010","01","04","15:00","-7.7","","-10.3","","82","","32","","19","","6.4","","100.06","","","","-15","","Snow"
"2010-01-04 16:00","2010","01","04","16:00","-7.1","","-9.6","","82","","27","","11","","9.7","","100.08","","","","-12","","Snow"
"2010-01-04 17:00","2010","01","04","17:00","-6.7","","-8.5","","87","","28","","15","","4.8","","100.10","","","","-13","","Snow"
"2010-01-04 18:00","2010","01","04","18:00","-6.2","","-9.3","","79","","30","","15","","16.1","","100.11","","","","-12","","Cloudy"
"2010-01-04 19:00","2010","01","04","19:00","-6.1","","-8.5","","83","","30","","9","","9.7","","100.15","","","","-10","","Snow"
"2010-01-04 20:00","2010","01","04","20:00","-5.7","","-9.6","","74","","30","","19","","16.1","","100.15","","","","-12","","Snow"
"2010-01-04 21:00","2010","01","04","21:00","-5.8","","-9.3","","76","","30","","19","","24.1","","100.15","","","","-12","","Snow"
"2010-01-04 22:00","2010","01","04","22:00"
"2010-01-04 23:00","2010","01","04","23:00"
"2010-01-05 00:00","2010","01","05","00:00"
"2010-01-05 01:00","2010","01","05","01:00"
"2010-01-05 02:00","2010","01","05","02:00"
"2010-01-05 03:00","2010","01","05","03:00"
"2010-01-05 04:00","2010","01","05","04:00"
"2010-01-05 05:00","2010","01","05","05:00"
"2010-01-05 06:00","2010","01","05","06:00"
"2010-01-05 07:00","2010","01","05","07:00","-7.7","","-11.7","","73","","34","","19","","24.1","","100.08","","","","-15","","Cloudy"
"2010-01-05 08:00","2010","01","05","08:00","-7.5","","-11.6","","72","","32","","19","","12.9","","100.12","","","","-15","","Snow"
"2010-01-05 09:00","2010","01","05","09:00","-8.1","","-11.1","","79","","32","","19","","8.0","","100.16","","","","-15","","Snow"
"2010-01-05 10:00","2010","01","05","10:00","-7.9","","-11.0","","78","","32","","15","","6.4","","100.14","","","","-14","","Snow"
"2010-01-05 11:00","2010","01","05","11:00","-7.1","","-9.9","","80","","30","","11","","8.0","","100.12","","","","-12","","Snow"
"2010-01-05 12:00","2010","01","05","12:00","-6.4","","-9.0","","82","","30","","11","","8.0","","100.04","","","","-11","","Snow"
"2010-01-05 13:00","2010","01","05","13:00","-6.6","","-8.4","","87","","27","","7","","4.8","","99.98","","","","-10","","Snow"
"2010-01-05 14:00","2010","01","05","14:00","-6.3","","-8.1","","87","","25","","19","","4.0","","99.95","","","","-13","","Snow"
"2010-01-05 15:00","2010","01","05","15:00","-5.8","","-7.8","","86","","24","","11","","4.0","","99.94","","","","-11","","Snow"
"2010-01-05 16:00","2010","01","05","16:00","-5.3","","-7.0","","88","","25","","19","","3.2","","99.94","","","","-12","","Snow"
"2010-01-05 17:00","2010","01","05","17:00","-5.2","","-6.2","","93","","27","","19","","2.4","","99.94","","","","-12","","Snow"
"2010-01-05 18:00","2010","01","05","18:00","-4.2","","-5.3","","92","","28","","15","","3.2","","99.92","","","","-10","","Snow"
"2010-01-05 19:00","2010","01","05","19:00","-3.9","","-6.2","","84","","29","","19","","8.0","","99.94","","","","-10","","Snow"
"2010-01-05 20:00","2010","01","05","20:00","-3.9","","-5.3","","90","","28","","15","","2.4","","99.95","","","","-9","","Snow"
"2010-01-05 21:00","2010","01","05","21:00","-3.9","","-5.1","","91","","32","","9","","3.2","","99.94","","","","-8","","Snow"
"2010-01-05 22:00","2010","01","05","22:00"
"2010-01-05 23:00","2010","01","05","23:00"
"2010-01-06 00:00","2010","01","06","00:00"
"2010-01-06 01:00","2010","01","06","01:00"
"2010-01-06 02:00","2010","01","06","02:00"
"2010-01-06 03:00","2010","01","06","03:00"
"2010-01-06 04:00","2010","01","06","04:00"
"2010-01-06 05:00","2010","01","06","05:00"
"2010-01-06 06:00","2010","01","06","06:00"
"2010-01-06 07:00","2010","01","06","07:00","-5.1","","-9.2","","73","","33","","15","","19.3","","100.14","","","","-11","","Cloudy"
"2010-01-06 08:00","2010","01","06","08:00","-5.2","","-9.1","","74","","32","","19","","24.1","","100.21","","","","-12","","Cloudy"
"2010-01-06 09:00","2010","01","06","09:00","-5.3","","-9.0","","75","","31","","11","","19.3","","100.26","","","","-10","","Snow"
"2010-01-06 10:00","2010","01","06","10:00","-5.4","","-8.8","","77","","31","","20","","24.1","","100.28","","","","-12","","Snow"
"2010-01-06 11:00","2010","01","06","11:00","-5.3","","-8.5","","78","","31","","20","","24.1","","100.30","","","","-12","","Cloudy"
"2010-01-06 12:00","2010","01","06","12:00","-4.3","","-8.2","","74","","30","","17","","24.1","","100.21","","","","-10","","Mostly Cloudy"
"2010-01-06 13:00","2010","01","06","13:00","-3.8","","-7.8","","74","","29","","15","","24.1","","100.18","","","","-9","","Mostly Cloudy"
"2010-01-06 14:00","2010","01","06","14:00","-3.6","","-7.5","","74","","27","","9","","24.1","","100.17","","","","-7","","Mostly Cloudy"
"2010-01-06 15:00","2010","01","06","15:00","-2.8","","-7.6","","69","","27","","13","","24.1","","100.17","","","","-7","","Mostly Cloudy"
"2010-01-06 16:00","2010","01","06","16:00","-3.5","","-8.3","","69","","27","","19","","24.1","","100.24","","","","-9","","Mostly Cloudy"
"2010-01-06 17:00","2010","01","06","17:00","-3.9","","-8.0","","73","","25","","19","","24.1","","100.29","","","","-10","","Mostly Cloudy"
"2010-01-06 18:00","2010","01","06","18:00","-4.1","","-7.6","","77","","25","","19","","24.1","","100.34","","","","-10","","Mostly Cloudy"
"2010-01-06 19:00","2010","01","06","19:00","-3.2","","-7.1","","74","","29","","22","","24.1","","100.39","","","","-10","","Mostly Cloudy"
"2010-01-06 20:00","2010","01","06","20:00","-3.2","","-7.0","","75","","29","","19","","24.1","","100.40","","","","-9","","Cloudy"
"2010-01-06 21:00","2010","01","06","21:00","-3.2","","-6.8","","76","","30","","15","","24.1","","100.42","","","","-8","","Cloudy"
"2010-01-06 22:00","2010","01","06","22:00"
"2010-01-06 23:00","2010","01","06","23:00"
"2010-01-07 00:00","2010","01","07","00:00"
"2010-01-07 01:00","2010","01","07","01:00"
"2010-01-07 02:00","2010","01","07","02:00"
"2010-01-07 03:00","2010","01","07","03:00"
"2010-01-07 04:00","2010","01","07","04:00"
"2010-01-07 05:00","2010","01","07","05:00"
"2010-01-07 06:00","2010","01","07","06:00"
