,hmdxx_min,hmdxx_max,hmdxx_median-1,hmdxx_max_hour,temp_min,temp_max,dew_point_temp_max,sun_rise,sun_set,visibility_mean,day_of_week,week_of_year,day_type,daily_peak
1994-06-16,23.77986654281753,42.173007205203696,26.34135379190285,17.0,18.7,32.5,23.2,6.0,22.0,5.920833333333335,3.0,24.0,0,20468.0
1994-06-17,29.35351887033092,40.20595943300789,34.476699278650734,17.0,21.7,32.8,21.3,6.0,22.0,17.51666666666667,4.0,24.0,0,20918.0
1994-06-20,18.607638712820247,28.186588049220227,29.837563498817808,14.0,15.6,25.5,15.1,6.0,22.0,32.15416666666667,0.0,25.0,0,19313.0
1994-06-21,20.141106334984862,34.610367723887656,25.025936403792986,10.0,18.8,31.3,20.6,6.0,22.0,24.829166666666666,1.0,25.0,0,19953.0
1994-06-22,14.371318521845016,29.265369961751915,26.6361804217058,16.0,13.0,28.2,12.3,6.0,22.0,34.50000000000001,2.0,25.0,0,18638.0
1994-06-23,17.552997073106738,27.60362086819034,24.41787336008135,12.0,15.6,25.8,16.4,6.0,22.0,21.54166666666667,3.0,25.0,0,18408.0
1994-06-24,18.102954785535665,22.278360980915192,25.17472820795705,0.0,14.5,18.2,16.2,6.0,22.0,10.20416666666667,4.0,25.0,0,16973.0
1994-06-27,18.323678357637156,23.769400990745538,22.107801914473928,17.0,14.6,19.8,16.1,6.0,22.0,24.47916666666667,0.0,26.0,0,16894.0
1994-06-28,20.843121089697085,29.47588081108247,20.72438850856914,16.0,17.3,24.6,16.4,6.0,22.0,32.82083333333333,1.0,26.0,0,17391.0
1994-06-29,19.263139940403995,29.12915533209975,24.163446370859763,13.0,15.5,22.9,18.7,6.0,22.0,13.78333333333334,2.0,26.0,0,17465.0
1994-06-30,18.89645934280737,27.375880811082467,23.28302629960321,12.0,16.1,22.5,17.0,6.0,22.0,22.15000000000001,3.0,26.0,1,17262.0
1994-07-04,11.132518581737326,28.633976218741456,19.291737776518303,14.0,10.6,25.8,13.6,6.0,22.0,27.175,0.0,27.0,2,17387.0
1994-07-05,22.184571848377693,39.24762853122218,23.006456380091674,15.0,17.9,31.0,21.4,6.0,22.0,21.92083333333333,1.0,27.0,0,19159.0
1994-07-06,27.48791723936239,43.175104299657534,32.23697068067119,14.0,20.4,32.0,24.1,6.0,22.0,12.883333333333333,2.0,27.0,0,20196.0
1994-07-07,27.465907483395075,38.27570312513553,35.604694268573496,15.0,20.7,29.5,22.4,6.0,22.0,14.762499999999998,3.0,27.0,0,19839.0
1994-07-08,28.4232188947262,39.48617510290029,32.96985187917838,14.0,21.3,29.6,22.9,6.0,22.0,10.533333333333333,4.0,27.0,0,20239.0
1994-07-11,11.474285056395907,27.55311469660375,22.11315555495511,16.0,10.9,25.7,11.6,6.0,22.0,34.50000000000001,0.0,28.0,0,17035.0
1994-07-12,17.786993701717773,36.5369706806712,21.008104448571025,18.0,17.0,29.5,20.4,6.0,21.0,22.258333333333336,1.0,28.0,0,18385.0
1994-07-13,17.018202280750874,28.79645934280737,30.83674798510701,11.0,15.6,26.0,18.6,6.0,21.0,30.54166666666667,2.0,28.0,0,17982.0
1994-07-14,14.802906242482704,25.851884670781587,25.879891906450965,17.0,12.9,23.1,13.3,6.0,21.0,31.500000000000004,3.0,28.0,0,16686.0
1994-07-15,20.36571083955856,33.12436403759608,21.625155611196753,15.0,17.0,25.8,20.0,6.0,21.0,16.095833333333335,4.0,28.0,0,17110.0
1994-07-18,19.00726510170141,33.35863900300384,24.69442934458951,16.0,15.7,28.0,18.6,6.0,21.0,20.27083333333334,0.0,29.0,0,18812.0
1994-07-19,21.278360980915192,33.99442934458951,27.85501749260313,17.0,16.8,30.1,16.7,6.0,21.0,27.42083333333333,1.0,29.0,0,19290.0
1994-07-20,22.094429344589514,36.955687019005694,29.329758934208108,17.0,18.0,28.0,22.0,6.0,21.0,12.329166666666666,2.0,29.0,0,19203.0
1994-07-21,29.005959433007888,37.80778717915828,30.974813340238853,11.0,21.6,30.9,23.0,6.0,21.0,9.925,3.0,29.0,0,19777.0
1994-07-22,26.810367723887662,34.488015525440176,35.62667453413715,14.0,20.2,27.8,21.6,6.0,21.0,11.870833333333335,4.0,29.0,0,19140.0
1994-07-25,17.30763871282025,30.776890203170524,25.84466034867948,16.0,14.4,27.7,17.9,6.0,21.0,32.51666666666667,0.0,30.0,0,18357.0
1994-07-26,16.905520129405485,25.657491750973982,25.26544567470726,10.0,14.8,22.5,15.9,6.0,21.0,29.33333333333334,1.0,30.0,0,17068.0
1994-07-27,12.932355823177435,25.88658804922023,22.114115674978585,11.0,11.7,23.2,15.4,7.0,21.0,29.14583333333333,2.0,30.0,0,16609.0
1994-07-28,18.783637057333753,27.47588081108247,22.756918478017226,15.0,15.3,23.0,16.9,7.0,21.0,19.541666666666675,3.0,30.0,0,16802.0
1994-07-29,14.556384833553295,28.632138712197325,21.473388498868875,15.0,12.4,26.0,14.8,7.0,21.0,32.175000000000004,4.0,30.0,1,16988.0
1994-08-02,22.511478978884586,30.74434063811427,29.034352337855182,14.0,17.5,23.9,19.1,7.0,21.0,16.166666666666668,1.0,31.0,2,18153.0
1994-08-03,19.50743133414982,30.675396489586333,26.54243774206623,17.0,15.6,26.6,18.3,7.0,21.0,20.804166666666664,2.0,31.0,0,18490.0
1994-08-04,16.259915687076592,32.93768260446509,26.88640741683961,10.0,14.0,24.0,21.8,7.0,21.0,13.487500000000002,3.0,31.0,0,18255.0
1994-08-05,9.973968885046217,18.867941076835862,28.893802783192328,16.0,10.0,18.7,10.2,7.0,21.0,33.86666666666667,4.0,31.0,0,16160.0
1994-08-08,13.854423196920544,29.363723173173266,20.992201626259455,15.0,12.1,26.4,16.5,7.0,21.0,20.58333333333334,0.0,32.0,0,17795.0
1994-08-09,15.795894867845632,24.32776867159132,25.185202521052705,1.0,14.7,19.0,17.6,7.0,21.0,27.3125,1.0,32.0,0,16707.0
1994-08-10,9.150838935390132,22.49589486784563,19.415315776706983,15.0,9.0,21.4,10.5,7.0,21.0,34.50000000000001,2.0,32.0,0,16350.0
1994-08-11,14.371318521845016,23.684571848377693,17.531286458445056,19.0,13.0,20.5,14.8,7.0,21.0,28.75833333333333,3.0,32.0,0,16498.0
1994-08-12,19.7845718483777,25.91343988627649,21.866205140411424,18.0,16.0,21.8,16.9,7.0,21.0,14.625000000000002,4.0,32.0,0,16977.0
1994-08-15,11.308744854074659,22.065369961751923,17.257176645998634,18.0,10.9,20.6,12.0,7.0,21.0,33.86666666666667,0.0,33.0,0,16616.0
1994-08-16,11.201129431172623,26.623678357637157,16.287837078763598,15.0,10.5,22.9,14.7,7.0,21.0,23.21250000000001,1.0,33.0,0,16858.0
1994-08-17,12.76056311897809,28.557491750973984,21.35206624431603,13.0,11.2,24.4,16.1,7.0,21.0,8.945833333333336,2.0,33.0,0,17293.0
1994-08-18,18.602954785535665,30.943659501579475,23.66074103530614,16.0,15.0,26.8,18.1,7.0,21.0,7.591666666666668,3.0,33.0,0,18191.0
1994-08-19,17.79645934280737,32.27968010905822,26.757122607276333,14.0,15.0,26.2,18.7,7.0,21.0,7.895833333333335,4.0,33.0,0,18571.0
1994-08-22,15.571318521845011,25.278396781806563,25.87224971733573,15.0,13.7,24.0,13.5,7.0,21.0,32.675000000000004,0.0,34.0,0,17471.0
1994-08-23,10.886993701717772,24.00552012940549,19.653670902426285,15.0,10.1,22.3,12.4,7.0,21.0,33.86666666666667,1.0,34.0,0,17183.0
1994-08-24,12.765369961751913,27.594429344589514,19.52717286701861,17.0,11.3,23.6,15.9,7.0,21.0,22.59166666666667,2.0,34.0,0,17655.0
1994-08-25,24.848649065833424,33.998556006321685,25.037696272805228,15.0,19.5,28.5,20.1,7.0,21.0,14.04166666666667,3.0,34.0,0,19130.0
1994-08-26,16.896459342807375,33.74322708361796,27.77692605826498,15.0,14.1,26.5,19.6,7.0,21.0,16.433333333333334,4.0,34.0,0,18640.0
1994-08-29,10.707459566106193,24.050956971299282,28.659868563850303,14.0,10.5,23.0,10.0,7.0,20.0,33.86666666666667,0.0,35.0,0,16920.0
1994-08-30,8.850838935390135,24.376890203170525,15.417219679214456,17.0,8.8,23.0,13.5,7.0,20.0,33.083333333333336,1.0,35.0,0,16668.0
1994-08-31,18.602954785535665,21.74889431072144,21.03174151738649,18.0,15.0,17.5,15.6,7.0,20.0,6.820833333333336,2.0,35.0,0,16677.0
1994-09-01,9.967941076835864,19.532355823177443,20.307431334149822,13.0,9.8,18.5,14.2,7.0,20.0,29.337499999999995,3.0,35.0,0,16299.0
1994-09-02,7.048995984268241,18.926909929545523,15.95599019466964,17.0,7.3,19.5,9.1,7.0,20.0,33.23333333333333,4.0,35.0,1,15927.0
1994-09-06,5.589707292285764,18.141361032086394,12.006324128624373,16.0,6.4,16.0,13.0,7.0,20.0,16.524999999999995,1.0,36.0,2,15917.0
1994-09-07,13.560563118978093,21.816308100737054,15.536964636482566,13.0,11.9,21.5,13.2,7.0,20.0,25.5625,2.0,36.0,0,16119.0
1994-09-08,17.054082892645628,28.186588049220227,18.700897953344708,15.0,14.9,25.5,15.9,7.0,20.0,28.504166666666666,3.0,36.0,0,16761.0
1994-09-09,7.6396177465731006,22.41630810073705,21.970059422193426,13.0,8.0,21.8,13.5,7.0,20.0,28.899999999999995,4.0,36.0,0,16564.0
1994-09-12,7.935889386175373,29.82450090064527,12.796068366312413,14.0,8.0,26.4,14.4,7.0,20.0,23.05,0.0,37.0,0,16751.0
1994-09-13,20.42450090064527,30.298556006321693,21.620306688171894,15.0,17.0,26.5,19.1,7.0,20.0,9.3625,1.0,37.0,0,17330.0
1994-09-14,22.84348439264229,28.18579604787962,26.993089724921603,14.0,17.9,23.0,19.0,7.0,20.0,7.6208333333333345,2.0,37.0,0,17542.0
1994-09-15,19.020139763555,24.227768671591324,25.906582195309085,0.0,16.0,19.7,17.2,7.0,20.0,15.575000000000005,3.0,37.0,0,17252.0
1994-09-16,19.502954785535668,34.48579604787962,22.110274852375003,12.0,15.9,29.5,17.9,7.0,20.0,7.925000000000002,4.0,37.0,0,18041.0
1994-09-19,7.8859116820827815,22.649749846497787,14.964953809102035,15.0,8.1,22.2,9.3,8.0,20.0,32.9,0.0,38.0,0,16582.0
1994-09-20,9.575850262069856,27.854423196920553,15.083024331232624,16.0,9.9,26.1,14.2,8.0,20.0,31.649999999999995,1.0,38.0,0,16935.0
1994-09-21,11.506291193030364,27.063139940404,21.41903012712715,14.0,10.5,24.0,14.5,8.0,20.0,16.495833333333334,2.0,38.0,0,17335.0
1994-09-22,12.218202280750873,24.16372317317327,21.036674772988945,13.0,10.8,22.0,14.2,8.0,20.0,13.4,3.0,38.0,0,16953.0
1994-09-23,11.586592831602449,23.778011346367435,21.081739126195377,13.0,10.4,21.2,14.8,8.0,20.0,21.791666666666675,4.0,38.0,0,16506.0
1994-09-26,18.7845718483777,23.984571848377694,21.870125788096065,13.0,15.0,20.4,16.7,8.0,20.0,12.495833333333332,0.0,39.0,0,16877.0
1994-09-27,13.754423196920547,22.320139763555,21.18138047073123,12.0,12.0,19.5,16.3,8.0,20.0,10.512500000000003,1.0,39.0,0,16497.0
